DateTime,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,KING_
2021-03-11,3369.9024,3436.8313,3369.9024,3436.8313,32211204400.0,1
2021-03-12,3447.2033,3454.5064,3417.2389,3453.0777,35802703500.0,1
2021-03-15,3441.882,3457.4892,3392.5089,3419.9456,36781329300.0,1
2021-03-16,3424.6524,3448.8829,3406.1746,3446.7334,31666874700.0,0
2021-03-17,3435.7319,3454.0562,3410.2815,3445.5509,28005981800.0,0
2021-03-18,3449.6413,3478.1447,3449.3774,3463.0681,28440389100.0,0
2021-03-19,3423.8733,3439.5236,3389.2929,3404.6634,30916171600.0,0
2021-03-22,3406.1227,3443.6596,3404.2341,3443.4392,31255908400.0,0
2021-03-23,3445.3408,3445.4159,3390.0477,3411.5088,32638940900.0,0
2021-03-24,3394.1283,3415.2949,3362.1847,3367.0606,31739869700.0,0
2021-03-25,3355.0706,3382.226,3344.9695,3363.5915,27067609700.0,0
2021-03-26,3373.3171,3423.2231,3373.3171,3418.3267,27461498700.0,1
2021-03-29,3429.6322,3449.8338,3409.8868,3435.2958,28482424300.0,1
2021-03-30,3432.5288,3457.6345,3423.3154,3456.6766,28542308100.0,1
2021-03-31,3452.2078,3452.2078,3420.8321,3441.9115,28304926100.0,0
2021-04-01,3444.8102,3470.0311,3438.8255,3466.3315,27524429500.0,0
2021-04-02,3472.6276,3487.5862,3462.8321,3484.3924,26265487300.0,0
2021-04-06,3491.6336,3493.2806,3471.761,3482.9674,23474667100.0,0
2021-04-07,3483.4211,3483.4211,3453.1947,3479.6256,29578697800.0,-1
2021-04-08,3467.4871,3495.9086,3459.3246,3482.5548,33175532900.0,-1
2021-04-09,3475.4434,3475.4467,3442.1392,3450.6772,28008519600.0,-1
2021-04-12,3445.9696,3456.1581,3403.9012,3412.9477,30957723900.0,0
2021-04-13,3411.2928,3425.3945,3387.902,3396.47,27062605400.0,0
2021-04-14,3397.021,3420.0278,3392.9751,3416.7212,23324232700.0,0
2021-04-15,3409.6139,3409.6139,3373.0939,3398.9875,23400505400.0,0
2021-04-16,3407.188,3432.6286,3394.1344,3426.6178,25857967200.0,0
2021-04-19,3427.548,3479.0099,3414.3564,3477.5485,30273581900.0,0
2021-04-20,3467.1481,3494.2983,3463.4637,3472.9427,28530008200.0,0
2021-04-21,3456.2991,3481.2511,3450.1113,3472.9298,25377785900.0,0
2021-04-22,3482.8328,3485.3585,3456.3156,3465.1138,25111451000.0,-1
2021-04-23,3462.0858,3482.3587,3456.3329,3474.166,24936043300.0,-1
2021-04-26,3484.1072,3497.1208,3438.5724,3441.1658,27697077100.0,-1
2021-04-27,3440.0911,3443.8538,3417.2647,3442.6111,25303239300.0,-1
2021-04-28,3432.1612,3457.0683,3423.325,3457.0683,24738112000.0,1
2021-04-29,3458.0819,3478.2278,3447.5878,3474.9011,27663138700.0,0
2021-04-30,3468.3022,3469.0872,3426.9023,3446.8564,31266035400.0,0
2021-05-06,3446.0743,3471.2396,3426.8487,3441.2826,31042419200.0,0
2021-05-07,3446.407,3457.8924,3416.7755,3418.8741,35378538900.0,0
2021-05-10,3423.5896,3429.7359,3401.9346,3427.9909,37417088400.0,0
2021-05-11,3406.598,3448.0959,3384.6966,3441.8454,35093411200.0,0
2021-05-12,3429.7544,3466.3708,3428.3944,3462.7513,31144454700.0,0
2021-05-13,3432.138,3448.0169,3418.3846,3429.5361,31932532700.0,0
2021-05-14,3436.0919,3490.6437,3422.5649,3490.3762,33698230900.0,0
2021-05-17,3490.4091,3530.5055,3490.1438,3517.6158,32213596900.0,0
2021-05-18,3520.6488,3529.0144,3510.862,3529.0144,27130855800.0,-1
2021-05-19,3521.1097,3521.1097,3503.8151,3510.9647,27832111700.0,-1
2021-05-20,3500.8773,3517.7399,3486.0662,3506.9444,32600933300.0,-1
2021-05-21,3510.8353,3518.3769,3479.6744,3486.5569,28382628500.0,0
2021-05-24,3486.2711,3498.3037,3469.8746,3497.2821,28950924200.0,0
2021-05-25,3502.539,3584.5774,3502.4429,3581.3418,34124112700.0,0
2021-05-26,3586.8388,3603.4881,3585.3695,3593.357,34198028800.0,0
2021-05-27,3585.7337,3626.3584,3579.2601,3608.8507,30955148600.0,0
2021-05-28,3610.7668,3622.1801,3582.358,3600.7844,34920883000.0,0
2021-05-31,3600.0702,3615.6568,3580.6524,3615.4773,33152377000.0,0
2021-06-01,3608.5978,3626.0737,3581.9115,3624.7138,35281141300.0,0
2021-06-02,3626.3283,3629.2896,3584.5955,3597.1379,34855842000.0,-1
2021-06-03,3595.4215,3618.5067,3584.2054,3584.2121,35423303100.0,-1
2021-06-04,3565.4716,3618.8001,3561.8907,3591.8447,33089303800.0,-1
2021-06-07,3597.1413,3600.3759,3581.8988,3599.541,30371867700.0,0
2021-06-08,3598.7527,3621.5227,3563.2503,3580.1063,30449147000.0,0
2021-06-09,3576.8015,3598.7082,3572.6364,3591.3965,29832329600.0,0
2021-06-10,3587.5282,3624.3433,3584.1332,3610.859,31817480800.0,0
2021-06-11,3614.1134,3614.4038,3587.1491,3589.7481,36055497000.0,0
2021-06-15,3587.4658,3592.9465,3547.187,3556.559,34916856600.0,0
2021-06-16,3556.7139,3561.0921,3513.5592,3518.3292,31259730600.0,0
2021-06-17,3508.317,3534.1976,3507.3535,3525.6042,27722991800.0,0
2021-06-18,3520.4966,3535.6221,3503.1833,3525.0968,29670858500.0,0
2021-06-21,3515.5006,3540.2959,3504.0075,3529.1826,28089827700.0,0
2021-06-22,3539.7876,3560.1946,3536.812,3557.412,30753639900.0,0
2021-06-23,3559.3988,3577.4661,3549.8482,3566.2199,31070951800.0,0
2021-06-24,3568.5758,3570.4874,3548.8161,3566.6539,33544075400.0,0
2021-06-25,3567.3772,3614.2981,3564.5199,3607.5618,34608783200.0,0
2021-06-28,3612.2469,3614.3574,3594.2174,3606.3722,32127497400.0,0
2021-06-29,3601.6772,3601.8265,3570.5253,3573.1779,30607117800.0,-1
2021-06-30,3572.6236,3594.1185,3569.501,3591.197,26816281800.0,-1
2021-07-01,3600.5464,3607.7049,3573.9374,3588.7816,29188319200.0,-1
2021-07-02,3569.8919,3569.8919,3514.3386,3518.7595,29194554800.0,0
2021-07-05,3516.9228,3534.3222,3510.5781,3534.3222,28809483700.0,0
2021-07-06,3533.1304,3538.347,3496.9276,3530.2589,31407021100.0,0
2021-07-07,3508.5901,3557.879,3504.4723,3553.7155,31883918900.0,0
2021-07-08,3557.2177,3558.6772,3521.0579,3525.5039,35087785700.0,0
2021-07-09,3512.2334,3529.3098,3485.0543,3524.0881,34988431700.0,0
2021-07-12,3545.1977,3565.0321,3527.3927,3547.8362,40363955800.0,0
2021-07-13,3547.5897,3567.4813,3542.8154,3566.5225,36241671100.0,0
2021-07-14,3560.8281,3560.8281,3525.4938,3528.5011,37222172200.0,0
2021-07-15,3519.063,3565.9347,3514.258,3564.5902,36325916400.0,0
2021-07-16,3559.526,3565.9992,3537.7288,3539.3038,36601477900.0,0
2021-07-19,3530.4932,3544.8793,3506.3423,3539.1225,33676094600.0,0
2021-07-20,3515.0718,3538.6361,3509.1916,3536.7905,29378059400.0,0
2021-07-21,3543.0534,3569.0898,3543.0534,3562.6611,33897874800.0,0
2021-07-22,3563.6608,3576.4732,3558.2933,3574.7344,38106705400.0,0
2021-07-23,3571.7152,3571.8541,3541.5101,3550.3964,44642124600.0,-1
2021-07-26,3538.0143,3538.0143,3424.7424,3467.4409,44288220300.0,-1
2021-07-27,3467.4473,3483.8738,3380.2763,3381.1833,46907544300.0,-1
2021-07-28,3355.8189,3385.536,3312.7206,3361.5895,39582541900.0,0
2021-07-29,3403.8383,3416.6071,3382.571,3411.724,34456942800.0,0
2021-07-30,3398.196,3404.8813,3370.4506,3397.3574,38144095600.0,0
2021-08-02,3385.6902,3464.2914,3367.643,3464.2854,43292787100.0,0
2021-08-03,3446.7841,3470.6571,3435.4619,3447.9914,40069808100.0,0
2021-08-04,3442.9368,3477.5972,3440.7835,3477.2186,34874421800.0,0
2021-08-05,3461.7185,3486.1572,3449.3885,3466.5491,34843692200.0,-1
2021-08-06,3465.4842,3466.3904,3436.9317,3458.2277,33682440000.0,-1
2021-08-09,3441.7502,3502.841,3438.703,3494.6348,34991009400.0,-1
2021-08-10,3488.6642,3529.9309,3477.0641,3529.9309,34511299200.0,-1
2021-08-11,3527.1093,3544.0941,3524.0444,3532.6213,38378355400.0,-1
2021-08-12,3522.7238,3538.396,3513.4457,3524.7374,38107459300.0,-1
2021-08-13,3514.4671,3540.0799,3500.7995,3516.2989,37818728200.0,-1
2021-08-16,3514.3445,3537.85,3510.8976,3517.3447,39109972100.0,-1
2021-08-17,3512.109,3531.7249,3438.1233,3446.976,42288580400.0,0
2021-08-18,3442.3472,3487.4364,3437.6908,3485.2859,38920375600.0,0
2021-08-19,3475.298,3480.4598,3446.0146,3465.5546,38238303100.0,0
2021-08-20,3442.5062,3453.1531,3394.9723,3427.3338,39113691800.0,0
2021-08-23,3436.7963,3481.2543,3436.6706,3477.1321,38472744000.0,1
2021-08-24,3482.2658,3522.6973,3481.1409,3514.471,43023646300.0,1
2021-08-25,3517.9151,3540.3948,3510.0664,3540.3837,45004701900.0,0
2021-08-26,3537.3139,3537.3155,3499.4529,3501.6643,50290314700.0,-1
2021-08-27,3494.4176,3530.1927,3493.375,3522.1567,45534590600.0,-1
2021-08-30,3535.0727,3539.494,3512.9929,3528.1512,51278571600.0,-1
2021-08-31,3519.0245,3543.9402,3496.3891,3543.9402,52420505600.0,0
2021-09-01,3543.8663,3582.3236,3514.6744,3567.1008,66727630500.0,-1
2021-09-02,3559.9025,3597.3656,3557.6769,3597.0426,57268403900.0,0
2021-09-03,3602.7421,3613.948,3569.3989,3581.7344,61453235300.0,-1
2021-09-06,3580.1413,3626.2865,3580.1413,3621.8593,52171327600.0,-1
