DateTime,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME,CCI_
2014-06-12,2051.582,2057.105,2045.962,2051.713,8171118600.0,0
2014-06-13,2049.206,2073.596,2048.618,2070.715,9717480600.0,0
2014-06-16,2070.699,2087.322,2069.441,2085.983,9593977000.0,0
2014-06-17,2080.482,2080.482,2064.666,2066.698,8780048100.0,0
2014-06-18,2064.383,2066.913,2051.746,2055.519,8724535000.0,0
2014-06-19,2054.62,2059.255,2017.653,2023.735,9291427400.0,0
2014-06-20,2013.414,2027.148,2010.53,2026.674,6716724600.0,0
2014-06-23,2026.226,2033.32,2022.917,2024.365,7048516200.0,0
2014-06-24,2023.699,2034.707,2021.75,2033.931,7121463400.0,0
2014-06-25,2030.433,2030.616,2018.36,2025.502,6753961000.0,0
2014-06-26,2025.662,2040.754,2025.314,2038.677,8095577800.0,0
2014-06-27,2031.907,2043.982,2025.073,2036.51,9759201700.0,0
2014-06-30,2038.613,2052.342,2038.527,2048.327,9666659800.0,0
2014-07-01,2051.225,2052.635,2041.937,2050.381,9845740900.0,0
2014-07-02,2049.485,2060.595,2044.035,2059.418,10955391100.0,0
2014-07-03,2051.632,2066.641,2048.081,2063.229,12292658200.0,0
2014-07-04,2062.358,2065.078,2054.217,2059.375,10500879200.0,0
2014-07-07,2058.128,2064.043,2050.887,2059.927,9716875400.0,0
2014-07-08,2058.134,2064.433,2047.204,2064.021,9505339300.0,0
2014-07-09,2061.635,2062.474,2037.601,2038.612,11330584100.0,0
2014-07-10,2036.54,2045.527,2034.956,2038.342,9794381900.0,0
2014-07-11,2033.869,2051.737,2033.004,2046.961,10508808300.0,0
2014-07-14,2047.744,2067.342,2044.901,2066.646,11511974000.0,0
2014-07-15,2065.9,2070.358,2059.679,2070.357,12448876800.0,0
2014-07-16,2068.343,2075.493,2061.572,2067.276,13712802000.0,0
2014-07-17,2062.888,2062.888,2046.189,2055.591,10449181200.0,0
2014-07-18,2047.498,2067.233,2045.996,2059.067,10664109400.0,0
2014-07-21,2057.767,2061.823,2049.175,2054.479,9385787000.0,0
2014-07-22,2050.5,2078.085,2049.815,2075.481,12319186800.0,0
2014-07-23,2074.195,2088.192,2072.229,2078.489,13729221100.0,0
2014-07-24,2079.632,2107.946,2079.632,2105.062,16567699600.0,0
2014-07-25,2108.714,2127.217,2106.714,2126.614,14249582600.0,0
2014-07-28,2135.249,2181.496,2135.249,2177.948,23618575200.0,0
2014-07-29,2179.826,2193.523,2172.102,2183.192,20026425700.0,0
2014-07-30,2178.179,2194.572,2177.244,2181.243,18492218700.0,0
2014-07-31,2179.543,2202.126,2173.9,2201.562,16469165400.0,0
2014-08-01,2194.17,2218.789,2184.641,2185.303,19147504200.0,0
2014-08-04,2190.036,2224.068,2186.917,2223.331,17409740300.0,0
2014-08-05,2224.632,2226.838,2206.85,2219.945,17538698700.0,0
2014-08-06,2212.003,2223.893,2192.993,2217.465,17771170700.0,0
2014-08-07,2216.659,2220.568,2185.763,2187.669,17523327400.0,0
2014-08-08,2188.709,2199.578,2180.597,2194.425,13518144300.0,0
2014-08-11,2199.433,2225.961,2198.314,2224.654,15058342100.0,0
2014-08-12,2222.696,2222.979,2210.0,2221.595,15479904600.0,0
2014-08-13,2223.051,2230.991,2202.443,2222.877,17806280600.0,0
2014-08-14,2221.541,2230.894,2204.384,2206.466,17014912300.0,0
2014-08-15,2207.226,2230.872,2203.242,2226.734,14997869100.0,1
2014-08-18,2229.804,2242.035,2228.134,2239.466,16392862600.0,0
2014-08-19,2242.34,2246.016,2227.925,2245.33,17774459200.0,0
2014-08-20,2241.664,2248.939,2233.892,2240.211,16765838300.0,0
2014-08-21,2239.568,2240.077,2211.63,2230.458,16573349800.0,0
2014-08-22,2228.974,2243.303,2225.267,2240.812,16011167200.0,0
2014-08-25,2241.1,2241.553,2222.009,2229.274,16211957800.0,0
2014-08-26,2225.291,2232.785,2200.618,2207.106,16350742400.0,0
2014-08-27,2207.03,2216.67,2204.048,2209.465,12088588500.0,0
2014-08-28,2210.484,2219.473,2194.861,2195.818,12422901400.0,0
2014-08-29,2198.946,2218.696,2193.263,2217.2,10520249600.0,0
2014-09-01,2220.129,2236.286,2217.685,2235.511,12916658300.0,0
2014-09-02,2239.684,2267.509,2234.378,2266.046,19212486900.0,0
2014-09-03,2268.395,2290.547,2268.1,2288.627,21247899800.0,0
2014-09-04,2290.029,2307.701,2283.277,2306.862,19948997800.0,0
2014-09-05,2311.305,2327.557,2307.447,2326.432,21318191700.0,0
2014-09-09,2328.426,2331.917,2315.894,2326.527,19699031800.0,0
2014-09-10,2318.496,2321.908,2306.421,2318.305,18982899100.0,0
2014-09-11,2315.732,2343.595,2304.602,2311.679,22222179800.0,0
2014-09-12,2308.346,2331.95,2302.775,2331.95,19347154000.0,0
2014-09-15,2330.187,2340.449,2321.593,2339.14,21511241400.0,0
2014-09-16,2341.027,2347.935,2293.869,2296.555,30269411100.0,0
2014-09-17,2298.982,2309.048,2282.795,2307.893,21084245300.0,0
2014-09-18,2303.85,2319.875,2297.931,2315.928,18908904500.0,0
2014-09-19,2312.984,2331.561,2305.517,2329.451,17464848700.0,0
2014-09-22,2323.554,2323.554,2284.378,2289.866,17584235400.0,0
2014-09-23,2289.091,2311.525,2289.024,2309.718,15685516900.0,0
2014-09-24,2302.231,2345.747,2297.876,2343.575,22252572500.0,0
2014-09-25,2352.865,2365.154,2336.805,2345.103,22568832300.0,0
2014-09-26,2339.288,2350.109,2329.955,2347.718,17474828500.0,0
2014-09-29,2353.708,2363.059,2346.579,2357.711,20011102100.0,0
2014-09-30,2361.318,2365.491,2354.268,2363.87,19391869000.0,0
