"DateTime","OPEN","HIGH","LOW","CLOSE","VOLUME"
2005-06-20,1087.849,1115.862,1073.41,1115.62,2146861900
2005-06-21,1115.665,1115.665,1098.904,1101.486,1547809000
2005-06-22,1098.958,1103.249,1090.745,1102.033,1235145300
2005-06-23,1100.559,1106.749,1092.478,1093.702,1148488600
2005-06-24,1091.989,1102.23,1087.693,1101.882,1112107500
2005-06-27,1108.465,1129.959,1108.465,1124.64,2184238100
2005-06-28,1120.945,1120.945,1105.341,1108.588,1345843100
2005-06-29,1111.667,1113.522,1103.906,1104.992,1346937900
2005-06-30,1103.477,1103.477,1078.1,1080.938,1378595900
2005-07-01,1077.313,1077.313,1053.631,1055.594,1359781400
2005-07-04,1050.242,1050.242,1030.179,1047.278,1227595800
2005-07-05,1043.883,1047.823,1032.515,1039.043,1049488500
2005-07-06,1040.699,1044.779,1028.22,1033.545,919642800
2005-07-07,1033.218,1044.053,1030.498,1038.597,857042600
2005-07-08,1036.412,1036.412,1015.399,1017.983,1033736700
2005-07-11,1026.79,1043.207,1009.038,1011.499,1133036100
2005-07-12,1007.901,1048.918,1004.081,1046.161,1845780500
2005-07-13,1044.578,1045.943,1033.81,1037.394,1282197400
2005-07-14,1035.527,1049.881,1033.165,1040.416,1257109300
2005-07-15,1039.609,1046.364,1021.986,1026.115,1275051400
2005-07-18,1023.38,1023.38,1008.521,1012.097,1096484200
2005-07-19,1011.005,1020.675,1004.657,1014.355,988231600
2005-07-20,1013.984,1025.103,1008.682,1021.052,1056855900
2005-07-21,1020.693,1022.044,1009.986,1020.632,1114036000
2005-07-22,1026.129,1054.635,1024.001,1046.321,2548834900
2005-07-25,1045.269,1048.974,1040.592,1045.4,1413410800
2005-07-26,1046.536,1078.056,1046.536,1072.807,2557751000
2005-07-27,1072.564,1090.185,1068.497,1089.909,2381234800
2005-07-28,1090.11,1097.634,1083.357,1086.548,2469584700
2005-07-29,1084.972,1088.476,1077.122,1083.033,1768394400
2005-08-01,1082.796,1094.151,1081.118,1088.948,1473155100
2005-08-02,1089.528,1104.044,1084.796,1104.038,1901501900
2005-08-03,1106.317,1120.679,1103.904,1107.699,3143645400
2005-08-04,1104.91,1108.163,1099.134,1102.589,1943679800
2005-08-05,1102.62,1129.068,1102.596,1128.743,2709606900
2005-08-08,1131.803,1146.727,1131.803,1138.882,3023752600
2005-08-09,1139.122,1152.94,1130.585,1152.534,2715409100
2005-08-10,1153.209,1165.127,1144.95,1165.033,3142711500
2005-08-11,1165.443,1184.256,1164.104,1183.579,3696703700
2005-08-12,1185.266,1192.049,1161.787,1167.915,4047875500
2005-08-15,1167.033,1187.797,1163.848,1187.006,3031951900
2005-08-16,1188.02,1192.917,1170.11,1177.278,3315537900
